url,start_hour,start_min,start_sec,end_hour,end_min,end_sec
https://www.youtube.com/watch?v=O9BlllkM5BQ&t=2272s,0,35,22,1,10,42
https://www.youtube.com/watch?v=kNNdi6m6p8I&t=5023s,0,38,57,1,24,38
https://www.youtube.com/watch?v=ukNZIBxH9zM,0,33,55,1,38,25
https://www.youtube.com/watch?v=ylxJhw9xUUY&t=2108s,0,0,0,0,35,10
https://www.youtube.com/watch?v=MopRAzoLbL0&t=4545s,0,35,35,1,14,54
https://www.youtube.com/watch?v=xE8vXEpudBQ&t=4609s,0,34,34,1,17,21
https://www.youtube.com/watch?v=AONrov6OvKg&t=2953s,0,43,56,1,27,21
https://www.youtube.com/watch?v=dz99ZP_KZRg&t=4808s,0,38,32,1,22,16
https://www.youtube.com/watch?v=-mc1Jdbo_1Q&t=4787s,0,35,27,1,17,22
https://www.youtube.com/watch?v=uggNJSjsWvU&t=3815s,0,17,8,1,2,57
https://www.youtube.com/watch?v=VEpaHbhwyno&t=5162s,1,2,17,1,26,26
https://www.youtube.com/watch?v=K4W4zBOmSUE&t=4538s,0,59,32,1,16,19
https://www.youtube.com/watch?v=RG8B_K5VubE&t=3779s,0,9,17,1,6,47
https://www.youtube.com/watch?v=pAUiBya0dJE,0,27,24,1,7,10
https://www.youtube.com/watch?v=GlahzSrLicA,0,35,3,1,27,43
https://www.youtube.com/watch?v=pxfVoeG9v08,0,35,15,1,19,35
https://www.youtube.com/watch?v=3noC1HrQRtw,0,42,10,1,30,24
https://www.youtube.com/watch?v=5nboBnclOtE,0,36,9,1,23,22
https://www.youtube.com/watch?v=Nrx0ocNoKkY,0,38,19,1,24,58
https://www.youtube.com/watch?v=KMpnsIkNM20&t=1017s,0,40,21,1,25,38
https://www.youtube.com/watch?v=__-stD8IJxQ&t=4707s,0,41,15,1,26,47
https://www.youtube.com/watch?v=pyS-ONycEVM&t=4985s,0,38,59,1,19,20
https://www.youtube.com/watch?v=m2FrEYLEXSw,0,42,56,1,25,21
https://www.youtube.com/watch?v=3MwUbOw3UiY,0,37,37,1,17,20
https://www.youtube.com/watch?v=4mvW3ZdvnCw&t=1461s,0,33,33,1,16,45
https://www.youtube.com/watch?v=1zuQ3degnVo&t=4856s,0,31,30,1,21,0
https://www.youtube.com/watch?v=YzLVQbACvk0,0,40,10,1,23,21
https://www.youtube.com/watch?v=j9VL-zn8Xu8,0,31,27,1,25,55
https://www.youtube.com/watch?v=a6ZfWy_UkHY,0,36,40,1,21,39
https://www.youtube.com/watch?v=ox5oXGPFOKE,0,44,26,1,28,58
https://www.youtube.com/watch?v=w5uDtL7WAeo&t=5167s,0,36,5,1,26,11
https://www.youtube.com/watch?v=k6DAk57K_9M&t=4814s,0,55,47,1,20,15
https://www.youtube.com/watch?v=XU-T_pOwkAI,0,31,24,1,23,53
https://www.youtube.com/watch?v=O3LkT2-8aBk,0,26,50,1,16,37
https://www.youtube.com/watch?v=yDy8jIlbJE8,0,26,55,1,16,12
https://www.youtube.com/watch?v=2bxTG0TrPvI,0,28,33,1,32,9
https://www.youtube.com/watch?v=zWwp_7coBoI,0,29,39,1,23,38
https://www.youtube.com/watch?v=_DlyJ9HW7Jk,0,28,43,1,22,44
